index,timestamp,srcPort,dstPort,proto,ipLenCount,length,cnt,ipLenMean,r_time,std,cnt_mean,cnt_max,minus_min_max,cnt_max_devide_mean
0,2018-10-14 15:32:00,29638.916666666668,29638.916666666668,17.0,4.5,54.0,1.0,34.166666666666664,0.0,8.395438591853448,1.0,1.0,18.0,0.9999999900000001
1,2018-10-14 15:33:00,38025.0,32100.0,17.0,2.0,32.0,1.0,32.0,0.0,0.0,1.0,1.0,0.0,0.9999999900000002
2,2018-10-14 15:34:00,30583.8125,29135.0625,17.0,4.0,66.4375,1.0,32.125,0.0,17.47820082938635,1.0,1.0,45.15625,0.9999999899999998
3,2018-10-14 15:35:00,30583.8125,29135.0625,17.0,4.0,66.4375,1.0,32.125,0.0,17.47820082938635,1.0,1.0,45.15625,0.9999999899999998
4,2018-10-14 15:36:00,30583.8125,29135.0625,17.0,4.0,66.4375,1.0,32.125,0.0,17.47820082938635,1.0,1.0,45.15625,0.9999999899999998
5,2018-10-14 15:37:00,41067.72727272727,37895.0,17.0,7.454545454545454,55.40909090909091,1.2727272727272727,56.36688311688311,0.0,27.944105392634086,1.2727272727272727,2.090909090909091,93.86363636363636,1.5454545336363632
6,2018-10-14 15:38:00,38134.045454545456,34961.318181818184,17.0,8.363636363636363,51.59090909090909,1.0,55.186868686868685,0.0,26.89801114733261,1.0,1.0,93.86363636363636,0.9999999899999996
7,2018-10-14 15:39:00,35197.88888888889,29381.222222222223,17.0,8.592592592592593,63.03703703703704,1.0,57.026366843033514,0.0,22.189070744613673,1.0,1.0,79.88888888888889,0.9999999899999996
8,2018-10-14 15:40:00,42593.0,32898.555555555555,17.0,4.666666666666667,68.77777777777777,1.0,62.59259259259258,0.0,26.07577687169925,1.0,1.0,65.88888888888889,0.9999999900000004
9,2018-10-14 15:41:00,42482.607142857145,35773.82142857143,17.0,7.714285714285714,48.607142857142854,3.0357142857142856,56.07448979591839,0.0,25.223726121860587,2.3279195011337883,4.785714285714286,82.32142857142857,1.8867596815192165
10,2018-10-14 15:42:00,31760.8,30399.72,17.0,9.28,56.84,1.0,49.78006216006215,0.0,18.892768860658133,1.6677142857142857,3.48,82.72,1.7044156311187655
11,2018-10-14 15:43:00,38761.09090909091,37877.27272727273,17.0,16.636363636363637,51.59090909090909,1.0,52.32368220015278,0.0,20.87366628141741,1.0,1.0,86.81818181818181,0.9999999899999996
12,2018-10-14 15:44:00,31996.4,30052.0,17.0,4.2,59.3,1.0,48.65,0.0,31.88729700396642,1.0,1.0,76.9,0.9999999900000003
13,2018-10-14 15:45:00,32300.5,30680.166666666668,17.0,7.0,57.708333333333336,1.0,54.823875661375645,0.0,20.2702743801947,1.0,1.0,78.83333333333333,0.9999999899999996
14,2018-10-14 15:46:00,40874.0,37326.0,17.0,7.5,62.583333333333336,1.5,60.05555555555554,0.0,34.95429733360749,1.25,2.0,93.41666666666667,1.499999988333333
15,2018-10-14 15:47:00,45719.11111111111,33892.444444444445,17.0,5.111111111111111,61.888888888888886,1.0,47.71111111111111,0.0,21.060705917065132,1.3333333333333333,2.3333333333333335,65.88888888888889,1.6666666544444444
16,2018-10-14 15:48:00,42059.439024390245,37324.65853658537,17.0,11.024390243902438,51.390243902439025,1.5853658536585367,52.137368052002174,0.0,23.410461124309716,1.4383955896604093,1.7804878048780488,89.51219512195122,1.241821657024309
17,2018-10-14 15:49:00,43685.5,35170.3,17.0,6.0,59.3,1.0,57.28888888888889,0.0,22.644910576049543,1.1514285714285715,1.2,77.7,1.0277777684799385
18,2018-10-14 15:50:00,50841.0,48905.681818181816,17.0,8.090909090909092,65.45454545454545,3.6818181818181817,38.85812672176309,0.0,24.172803856414145,3.6911683681737157,6.681818181818182,99.31818181818181,1.6882869520768926
19,2018-10-14 15:51:00,31465.3125,28944.0625,17.0,6.75,66.4375,1.0,61.13501984126984,0.0,22.986461294064313,1.0,1.0,81.3125,0.9999999899999998
20,2018-10-14 15:52:00,36876.545454545456,34126.09090909091,17.0,7.636363636363637,57.18181818181818,1.0,58.09090909090909,0.0,25.448901145116075,1.0,1.0,88.0909090909091,0.9999999900000002
